[23:23:02] INFO     [대기중] F5=시작 / F6=중지
[23:23:59] INFO     게임 창 발견: HWND=395004
[23:23:59] DEBUG    게임 창 영역: x=449, y=78, w=1296, h=759
[23:23:59] INFO     매크로 시작! (방식: sendinput, 영역: (449, 78, 1296, 759))
[23:23:59] INFO     매크로 시퀀스 시작
[23:23:59] INFO     루프 진입: 무한 반복
[23:23:59] DEBUG    템플릿 로딩 완료: images/image.png ((98, 161, 3))
[23:23:59] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:23:59] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:00] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:00] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:01] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:01] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:02] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:02] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:03] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:03] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:04] WARNING  이미지 대기 timeout (5초): image.png
[23:24:04] WARNING  find_and_click 실패: images/image.png
[23:24:04] DEBUG    대기: 2.0초
[23:24:06] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:06] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:07] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:07] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:08] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:08] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:09] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:09] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:10] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:10] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:11] WARNING  이미지 대기 timeout (5초): image.png
[23:24:11] WARNING  find_and_click 실패: images/image.png
[23:24:11] DEBUG    대기: 2.0초
[23:24:13] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:13] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:14] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:14] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
[23:24:15] ERROR    화면 캡처 실패: PyAutoGUI was unable to import pyscreeze. (This is likely because you're running a version of Python that Pillow (which pyscreeze depends on) doesn't support currently.) Please install this module to enable the function you tried to call.
